a-bomb,bom nguyên tử
a-power,năng lượng nguyên tử
a.d.,sau công nguyên | năm 1540 sau công nguyên
a.m.,(xem) ante_meridiem
aard-wolf,(động vật học) chó sói đất (nam phi)
aasvogel,(động vật học) con kên kên (nam phi)
aba,áo aba (áo ngoài giống hình cái túi người a-rập)
abandoner,(pháp lý) người rút đơn
abbacy,chức vị trưởng tu viện; quyền hạn trưởng tu viện
abbatial,(thuộc) trưởng tu viện
abbess,bà trưởng tu viện
abbey,tu viện
abbot,cha trưởng tu viện
abbreviated,tóm tắt; viết tắt; rút ngắn lại
abbreviator,người tóm tắt
abdicant,người từ bỏ
abdicator,người từ bỏ
abdomen,bụng
abdominal,(thuộc) bụng; ở bụng | phẫu thuật ở bụng | khoang bụng
abdominous,phệ bụng
abecedarian,sắp xếp theo thứ tự abc
abed,ở trên giường | nằm ở trên giường
abele,(thực vật học) cây bạch dương
abelmosk,(thực vật học) cây vông vàng
aberrance,sự lầm lạc
aberrancy,sự lầm lạc
aberrant,lầm lạc
abette,kẻ xúi giục
abettor,kẻ xúi giục
abhor,ghê tởm; ghét cay ghét đắng
abietene,(hoá học) abietin
abiogenesis,(sinh vật học) sự phát sinh tự nhiên
abiogenetic,(sinh vật học) phát sinh tự nhiên
abiogenetically,(sinh vật học) phát sinh tự nhiên
abiogenist,người tin thuyết phát sinh tự nhiên
abiogenous,(sinh vật học) phát sinh tự nhiên
abiogeny,(sinh vật học) sự phát sinh tự nhiên
abiological,phi sinh vật học
abiotic,vô sinh
ablactation,sự cai sữa
ablate,(y học) cắt bỏ
ablation,(y học) sự cắt bỏ (một bộ phận trong cơ thể)
ablative,(ngôn ngữ học) (thuộc) cách công cụ
ablaut,(ngôn ngữ học) aplau
abloom,đang nở (ra) hoa
ablush,thẹn đỏ mặt
abnegate,nhịn (cái gì)
aboil,đang sôi
abolitionism,(sử học) chủ nghĩa bãi nô
abolitionist,người theo chủ nghĩa bãi nô
abominate,ghê tởm; ghét cay ghét đắng
aborigines,thổ dân | người da đỏ là thổ dân của châu mỹ|- thổ sản
abort,sẩy thai; đẻ non ((nghĩa đen) & (nghĩa bóng))
aborted,bị sẩy (thai)
aborticide,thuốc giết thai
abortionist,người phá thai
abortiveness,sự đẻ non
aboulia,(y học) chứng mất ý chí
about-face,(quân sự) sự quay đằng sau
about-sledge,(kỹ thuật) búa tạ
above-ground,ở trên mặt đất
abracadabra,câu thần chú
abrade,làm trầy (da); cọ xơ ra
abranchial,(động vật học) không mang
abranchiate,(động vật học) không mang
abrasion,sự làm trầy (da); sự cọ xơ ra; chỗ bị trầy da
abrasive,làm trầy (da)
abscess,(y học) áp xe
absciss,(toán học) độ hoành
abscissa,(như) absciss
abscissae,(như) absciss
abscisse,(như) absciss
abscission,(y học) sự cắt bỏ
absent-minded,lơ đãng
absently,lơ đãng
absinthian,(thuộc) apxin
absolutist,(chính trị) người theo chính thể chuyên chế
absorbability,khả năng hút thu
absorbable,có thể nuốt được; có thể bị hút
absorber,(kỹ thuật) thiết bị hút thu
absorptive,hút thu | khả năng hút thu
absorptivity,khả năng hút thu
abstainer,người kiêng rượu | người kiêng rượu hoàn toàn
abstaining,sự kiêng khem
abstention,(+ from) sự kiêng
abstinent,ăn uống điều độ; kiêng khem
abstracted,lơ đãng
abstractedly,trừu tượng; lý thuyết
abstractedness,sự lơ đãng
abstractionism,(nghệ thuật) chủ nghĩa trừu tượng
abstractionist,(nghệ thuật) người theo chủ nghĩa trừu tượng
abstractness,tính trừu tượng
abstruse,khó hiểu
abstruseness,tính khó hiểu
absurd,vô lý
abulia,(y học) chứng mất ý chí
abuser,người lạm dụng
abusiveness,sự lạm dụng
abutilon,(thực vật học) giống cây cối xay
abysm,(thơ ca) (như) abyss
acacia,(thực vật học) giống cây keo
academe,(thơ ca) học viện; trường đại học
academical,(thuộc) học viện; (thuộc) trường đại học
academicals,mũ áo đại học (của giáo sư và học sinh đại học ở anh)
academician,viện sĩ
acaleph,loài sứa
acanthi,cây ô rô
acanthus,cây ô rô
acari,(động vật học) cái ghẻ
acarpellous,(thực vật học) không lá noãn
acarpous,(thực vật học) không sinh quả
acarus,(động vật học) cái ghẻ
acaulesent,(thực vật học) không thân (cây)
acauline,(thực vật học) không thân (cây)
acaulose,(thực vật học) không thân (cây)
acaulous,(thực vật học) không thân (cây)
accelerating,làm nhanh thêm | (vật lý) lực gia tốc
accentor,(động vật học) chim chích
accentual,(thuộc) trọng âm; dựa vào trọng âm
acceptability,tính chất có thể chấp nhận
acceptor,(thương nghiệp) người nhận thanh toán (hoá đơn...)
accessary,đồ phụ tùng; vật phụ thuộc; đồ thêm vào
accessory,đồ phụ tùng; vật phụ thuộc; đồ thêm vào
accidence,(ngôn ngữ học) hình thái học
accipitral,(thuộc) chim ưng; như chim ưng
acclaim,tiếng hoan hô | được tôn lên làm vua
acclivity,dốc ngược
acclivous,dốc ngược
accost,đến gần
accouchement,sự đẻ
accoucheur,người đỡ đẻ
accountancy,nghề kế toán
accountantship,chức kế toán
accoutre,mặc cho (bộ đồ đặc biệt...); trang bị cho
accoutrement,bộ áo quần đặc biệt; quần áo
accumulator,người tích luỹ
accusative,(ngôn ngữ học) (thuộc) đổi cách
acephalous,không có đầu
acervate,(thực vật học) mọc thành chùm
acescent,hoá chua; chua
acetate,(hoá học) axetat
acetification,sự hoá giấm; sự làm thành giấm
acetify,làm thành giấm
acetone,axeton
acetylene,(hoá học) axetylen
achene,(thực vật học) quả bế
achilles,a-sin (anh hùng cổ hy lạp)
achromatic,(vật lý) tiêu sắc
achromatism,(vật lý) tính tiêu sắc
achromatize,(vật lý) làm tiêu sắc
achromous,(vật lý) làm tiêu sắc
acicular,hình kim; kết tinh thành hình kim
acidic,có tính chất axit
acidification,(hoá học) sự axit hoá
acidifier,(hoá học) chất axit hoá
acidify,axit hoá
acidimeter,cái đo axit
acidity,tính axit; độ axit
acidose,(y học) sự nhiễm axit
acidulate,làm cho hơi chua
acidulated,hơi chua
acidulous,hơi chua
aciform,hình kim
ack-ack,súng cao su
acock,đội lệch (mũ) | đội mũ lệch
aconite,(thực vật học) cây phụ tử
acorn,(thực vật học) quả đầu
